Position,Location,Company Name,Num Applicants,Sector,Num Employees,Position Type,Remote,Easy Apply
Software Developer  - OOP,"Ovar, Aveiro, Portugal",Bosch,"
            8 applicants
          ",Information Technology & Services,"10,001+ employees",Full-time · Mid-Senior level,False,True
Process Automation Developer (M/F),"Porto, Porto, Portugal",adidas,None,Sporting Goods,"10,001+ employees",Full-time,False,False
Backend Developer,"Lisbon, Portugal",CGI,"
            12 applicants
          ",Information Technology & Services,"10,001+ employees",Full-time · Associate,False,True
Junior Full Stack Developer,"Porto, Portugal",Tlantic,"
            16 applicants
          ",None,51-200 employees,Full-time,False,True
.NET Fullstack developer,"Lisbon, Portugal",agap2IT Portugal,"
            24 applicants
          ",None,None,Contract,True,True
Back End Developer,"Braga, Portugal",Checkmarx,"
            7 applicants
          ",Computer & Network Security,"501-1,000 employees",Full-time · Associate,False,True
Business Intelligence Developer,"Lisboa, Lisbon, Portugal",IQVIA,"
            18 applicants
          ",Hospital & Health Care,"10,001+ employees",Full-time,False,True
SQL Developer,Lisbon Metropolitan Area,Growin,"
            9 applicants
          ",Information Technology & Services,201-500 employees,Full-time · Entry level,False,True
Senior BI Developer,"Lisbon, Lisbon, Portugal",Hitachi Vantara,"
            2 applicants
          ",None,None,None,False,False
FullStack Developer,Lisbon Metropolitan Area,Smart Consulting,None,Information Technology & Services,51-200 employees,Full-time · Associate,False,True
Data Analyst (m/f),"Lisbon, Lisbon, Portugal",Noesis,"
            4 applicants
          ",Information Technology & Services,"501-1,000 employees",Full-time · Entry level,False,False
Senior Backend Software Developer,"Lisbon, Lisbon, Portugal",Unbabel,"
            5 applicants
          ",Information Technology & Services,201-500 employees,Full-time · Mid-Senior level,False,True
Developer SQL,Lisbon Metropolitan Area,NEX T Engineering,"
            24 applicants
          ",Information Technology & Services,11-50 employees,Full-time · Mid-Senior level,True,True
Senior Business Intelligence Developer,"Lisbon, Lisbon, Portugal",Evolution,"
            4 applicants
          ",Gambling & Casinos,"5,001-10,000 employees",Full-time · Associate,False,False
Cloud Developer - 100% Remote,"Porto, Porto, Portugal",Accenture Portugal,"
            5 applicants
          ",None,None,None,True,False
Junior Full Stack Developer,"Lisbon, Portugal",PrimeIT,"
            21 applicants
          ",Information Technology & Services,"1,001-5,000 employees",Full-time · Associate,False,True
Process Automation Developer (M/F),"Porto, Porto, Portugal",Adidas,"
            0 applicants
          ",None,None,Full-time · Entry level,False,False
Fullstack Developer (M/F),"Lisbon, Lisbon, Portugal",Affinity Portugal,"
            8 applicants
          ",Information Technology & Services,201-500 employees,Full-time · Entry level,False,True
Backend Developer (m/f),Portugal,QiBit Portugal,"
            6 applicants
          ",Human Resources,"1,001-5,000 employees",Full-time · Associate,True,False
Frontend Developer,"Porto, Porto, Portugal",Blip.pt,"
            19 applicants
          ",Internet,201-500 employees,Full-time · Entry level,False,False
Software Developer – Manufacturing Digital,"Braga, Braga, Portugal",Bosch Portugal,"
            20 applicants
          ",Mechanical Or Industrial Engineering,"1,001-5,000 employees",Full-time · Associate,False,True
Data Analyst/Python Developer (M/F),"Lisbon, Portugal",Capgemini Engineering,None,Information Technology & Services,"10,001+ employees",Full-time · Mid-Senior level,True,True
Data Analyst,"Lisboa, Lisbon, Portugal",ONE Recruitment Agency & ONE Food Retail Solutions,"
            0 applicants
          ",Staffing & Recruiting,1-10 employees,Full-time · Entry level,False,False
Business Intelligence Developer,"Lisbon, Portugal",Procensus Oak Peak is now Brighten,"
            10 applicants
          ",Information Technology & Services,51-200 employees,Full-time · Mid-Senior level,False,True
Applications Support Specialist - Lisboa ou Porto,"Lisbon, Portugal",NOS SGPS,None,Telecommunications,"1,001-5,000 employees",Full-time · Entry level,False,False
Applications Support Specialist - Lisboa ou Porto,"Lisbon, Portugal",NOS SGPS,None,Telecommunications,"1,001-5,000 employees",Full-time · Entry level,False,False
Analyst Developer,"Lisbon, Portugal",Lynxmind,"
            6 applicants
          ",None,11-50 employees,Contract,False,True
Software Developer,"Leiria, Leiria, Portugal",Arxi,"
            9 applicants
          ",None,None,Full-time,False,True
Data Science Developer,"Lisbon, Lisbon, Portugal",Amgen,"
            0 applicants
          ",Biotechnology,"10,001+ employees",Full-time,False,False
Full Stack Developer (m/f),"Lisbon, Lisbon, Portugal",Michael Page,"
            0 applicants
          ",Staffing & Recruiting,"5,001-10,000 employees",Full-time · Entry level,False,False
Backend Software Developer,"Coimbra, Portugal",Anova,"
            11 applicants
          ",Information Technology & Services,201-500 employees,Full-time · Mid-Senior level,True,False
Data Engineer,"Porto, Porto, Portugal",None,"
            0 applicants
          ",Information Technology & Services,51-200 employees,Full-time · Entry level,False,False
Corporate BI Developer (Banco) - Lisboa,"Lisbon, Lisbon, Portugal",Log Partners,"
            5 applicants
          ",Human Resources,1-10 employees,Full-time · Associate,False,False
Data Analyst (m/f),"Lisbon, Lisbon, Portugal",Red IT,"
            2 applicants
          ",None,None,None,False,False
Business Intelligence Consultant,"Lisbon, Lisbon, Portugal",Integer Consulting,"
            1 applicant
          ",Information Technology & Services,201-500 employees,Full-time · Associate,False,False
Back-End Developer,"Faro, Portugal",Evodeck Software,"
            2 applicants
          ",None,None,None,True,False
ETL DEVELOPER (PORTO),"Porto, Porto, Portugal",KCS iT,"
            1 applicant
          ",None,None,Full-time · Entry level,False,False
Junior FullStack Developer,"Leiria, Leiria, Portugal",Glartek,None,None,None,None,False,False
Analyst Developer (m/f),"Lisbon, Lisbon, Portugal",ADENTIS,"
            0 applicants
          ",Information Technology & Services,201-500 employees,Full-time · Entry level,False,False
JUNIOR DEVELOPER -- Remote,"Porto, Porto, Portugal",Cobblestone Energy,"
            4 applicants
          ",Oil & Energy,11-50 employees,Full-time · Entry level,True,False
PHC Developer/Consultor,"Sintra, Lisbon, Portugal",Porbite,"
            0 applicants
          ",None,None,None,False,True
Consultor Sénior PL/SQL,"Porto, Porto, Portugal",OPTIMIZER,"
            3 applicants
          ",None,51-200 employees,Full-time,False,True
Analyst Developer,"Lisbon, Lisbon, Portugal",Axians Portugal,"
            1 applicant
          ",Information Technology & Services,"501-1,000 employees",Full-time · Entry level,False,False
2x Full Stack Developer - 100% remote,Portugal,Devlinkbox,"
            6 applicants
          ",None,1-10 employees,Full-time,True,True
Fullstack Developer,"Porto, Portugal",Jumia Porto Tech Center,"
            0 applicants
          ",None,201-500 employees,Full-time,False,False
Back End Developer,"Funchal, Madeira Island, Portugal",Asseco PST,None,None,201-500 employees,Full-time,False,True
